Usuario,Fecha,Operacion,Num1,Num2,Resultado
Guame,2026-03-08 21:45:00,√,2000.0,4.0,44.721359549995796
Guame,2026-03-08 21:46:02,GB → MB,200.0,,204800.0
Guame,2026-03-08 21:48:49,+,15.0,25.0,40.0
Guame,2026-03-08 21:48:49,-,100.0,42.0,58.0
Guame,2026-03-08 21:48:49,*,8.0,7.0,56.0
Guame,2026-03-08 21:48:49,/,144.0,12.0,12.0
Guame,2026-03-08 21:48:49,+,500.0,150.0,650.0
Guame,2026-03-08 21:48:49,-,200.0,75.0,125.0
Guame,2026-03-08 21:48:49,*,12.0,12.0,144.0
Guame,2026-03-08 21:48:49,/,1000.0,8.0,125.0
