id_campana,fecha,cliente,plataforma,formato,duracion_seg,objetivo,pais,presupuesto_usd,costo_usd,impresiones,alcance,clicks,reproducciones_3s,reproducciones_100,conversiones,ingresos_usd,calificacion_creativa
CAMP-0001,2025-01-02,LumaAds,YouTube,Reel,30,Traffic,MX,2449.27,2356.84,319655,212076,4073,171648,26034,82,626.92,79
CAMP-0002,2025-01-03,FrameHouse,Facebook,Reel,25,Traffic,AR,1153.08,836.4,185919,103138,3718,88732,22749,93,678.65,93
CAMP-0003,2025-01-04,PixelForge,Facebook,Video Largo,60,Ventas,PE,398.93,291.12,50288,27514,488,22772,9557,24,1082.33,63
CAMP-0004,2025-01-05,FrameHouse,YouTube,Video Largo,90,Awareness,AR,1752.35,1304.59,279213,210519,2491,177098,29152,19,64.42,69
CAMP-0005,2025-01-06,NeoStudio,Instagram,Video Largo,45,Ventas,CL,703.8,640.98,140856,109020,1878,68165,39455,137,5787.29,73
CAMP-0006,2025-01-07,CromaLab,YouTube,Story,5,Leads,MX,1771.16,1307.11,234268,196885,3684,158686,74643,142,3167.19,72
CAMP-0007,2025-01-08,PixelForge,X,Imagen,0,Traffic,AR,3216.04,3070.29,421003,310381,4219,101883,29422,74,661.87,70
CAMP-0008,2025-01-09,FrameHouse,Facebook,Carrusel,0,Traffic,CL,438.26,419.55,101302,55627,1568,24484,9011,27,202.17,76
CAMP-0009,2025-01-10,PixelForge,X,Imagen,0,Leads,CO,1546.72,1368.99,196186,162023,1835,25552,2743,75,1582.65,71
CAMP-0010,2025-01-11,CromaLab,Instagram,Reel,25,Traffic,AR,1921.01,1435.89,306656,215683,6258,172708,42644,143,1181.1,62
CAMP-0011,2025-01-12,PixelForge,TikTok,Story,5,Leads,PE,569.86,450.71,109757,89229,2000,56633,18441,72,1408.31,63
CAMP-0012,2025-01-13,FrameHouse,Facebook,Imagen,0,Ventas,CL,3008.26,2130.48,411714,244012,4102,74370,33084,168,7365.38,51
CAMP-0013,2025-01-14,FrameHouse,Instagram,Story,5,Ventas,CO,2680.92,1796.24,404104,279223,8344,285090,49961,448,19192.94,66
CAMP-0014,2025-01-15,FrameHouse,YouTube,Reel,25,Awareness,PE,2386.46,2023.31,317822,193445,5358,142472,28150,41,132.93,71
CAMP-0015,2025-01-16,NeoStudio,X,Reel,10,Awareness,AR,3112.81,2981.28,426281,244529,6804,245674,141110,66,214.46,74
CAMP-0016,2025-01-17,PixelForge,Instagram,Reel,10,Leads,AR,1135.13,978.13,235127,138542,6322,124795,67183,352,8003.84,100
